,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
0,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,3RaCGXCiiMufRPoexXxGkV,310491,3,Drake,Slime You Out (feat. SZA)
1,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,2FDTHlrBguDzQkp7PVj16Q,226383,4,Dave,Sprinter
2,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,7dJYggqjKo71KI9sLzqCs8,265360,4,Doja Cat,Agora Hills
3,0.679,0.772,8,-3.26,0,0.199,0.143,7.15e-06,0.0662,0.778,93.201,1r16zpUZ2nH44uOXlBGrbm,207131,4,Stormzy,The Weekend
4,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4rXLjWdF2ZZpXCVTfWcshS,125040,4,Gunna,fukumean
5,0.789,0.763,1,-6.169,1,0.199,0.123,2.22e-05,0.132,0.272,140.107,5JYPXqMwYc0zTODQdjMEZN,126857,4,Ice Spice,Deli
6,0.726,0.738,0,-4.788,1,0.355,0.0791,0.0,0.0297,0.896,121.953,4YQImHflXSiIMXntcwPkx8,175099,4,Cardi B,Bongos (feat. Megan Thee Stallion)
7,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,6WzRpISELf3YglGAh7TXcG,215467,4,The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series
8,0.676,0.844,5,-4.831,0,0.407,0.271,0.0,0.0994,0.424,163.992,166lmjn9xjWj1AEdGX8PYh,156307,4,Offset,FAN
9,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,5aIVCx5tnk0ntmdiinnYvw,200256,4,Tyla,Water
10,0.615,0.632,1,-8.539,1,0.292,0.108,0.0,0.129,0.194,150.126,1L0OmJV0LnPDWuHCIGmBV6,275281,4,Drake,On The Radar Freestyle
