,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
0,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,2IGMVunIBsBLtEQyoI1Mu7,231750,4,Doja Cat,Paint The Town Red
1,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4KULAymBBJcPRpk1yO4dOG,227196,4,Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
2,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,1Lo0QY9cvc8sUB2vnIOxDT,265493,4,Luke Combs,Fast Car
3,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,1BxfuPKGuaTgP7aM0Bbdwr,178427,4,Taylor Swift,Cruel Summer
4,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,7K3BhSpAxZBznislvUMVtn,163855,4,Morgan Wallen,Last Night
5,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,1vYXt7VSjH9JIM5oRRo7vA,176579,4,Dua Lipa,Dance The Night - From Barbie The Album
6,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,SZA,Snooze
7,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4rXLjWdF2ZZpXCVTfWcshS,125040,4,Gunna,fukumean
8,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,3k79jB4aGmMDUQzEwa46Rz,219724,4,Olivia Rodrigo,vampire
9,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,0WtM2NBVQNNJLh6scP13H8,239318,4,Rema,Calm Down (with Selena Gomez)
10,0.678,0.264,10,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,78Du4CMFgnhdlG33gblkiP,187244,4,Oliver Anthony Music,Rich Men North of Richmond
11,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,741UUVE2kuITl0c6zuqqbO,109750,4,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album]
12,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,200455,4,Miley Cyrus,Flowers
13,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,6HgWWaMu31KdOpEG5l28BG,223204,4,Lil Durk,All My Life (feat. J. Cole)
14,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,0ec7EBr0mjWO6J7TRr09bN,178723,4,Bailey Zimmerman,Religiously
15,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,0Nfh4u0J4bajcyp5pzaWCx,190461,4,Miley Cyrus,Used To Be Young
16,0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014,4pCbJC43j3gSqG6Fen6upD,227467,4,Zach Bryan,Hey Driver (feat. The War and Treaty)
17,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,5jUOG0aeAofL5u3UWyrtDO,197400,4,Jelly Roll,Need A Favor
18,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,0PAcdVzhPO4gq1Iym9ESnK,177388,4,Morgan Wallen,Thinkin’ Bout Me
19,0.638,0.634,4,-6.582,1,0.0457,0.133,1.23e-06,0.152,0.519,96.953,02Zkkf2zMkwRGQjZ7T4p8f,200690,4,Taylor Swift,Anti-Hero
20,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,3OHfY25tqY28d16oZczHc8,153947,4,SZA,Kill Bill
21,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,6wf7Yu7cxBSPrRlWeSeK0Q,222370,4,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
22,0.847,0.434,5,-6.474,0,0.0382,0.0226,0.0673,0.087,0.293,129.967,79DPYZ6x8FfzgSgPoPhpC3,216348,4,Nicki Minaj,Last Time I Saw You
23,0.615,0.616,8,-6.523,1,0.0622,0.0623,0.0,0.579,0.0734,89.977,4i6cwNY6oIUU2XZxPIw82Y,201493,4,Taylor Swift,Karma (feat. Ice Spice)
24,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,2dHHgzDwk4BJdRwy9uXhTO,221520,4,Metro Boomin,Creepin' (with The Weeknd & 21 Savage)
25,0.628,0.878,9,-3.468,1,0.0901,0.00196,1.23e-05,0.0649,0.796,129.976,2i8f4VnnBjy0yDqH2C452a,184784,4,Olivia Rodrigo,bad idea right?
26,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,67nepsnrcZkowTxMWigSbb,246134,4,Travis Scott,MELTDOWN (feat. Drake)
27,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,22VHOlVYBqytsrAqV8yXBK,213817,4,Noah Kahan,Dial Drunk (with Post Malone)
28,0.593,0.397,6,-8.309,1,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,3EvZ03hGAFwGZ2Ebcu86YH,189053,4,Zach Bryan,Tourniquet
29,0.459,0.861,0,-3.762,0,0.0529,0.0474,5.38e-06,0.107,0.333,145.842,4ROknQyR1wOGPfmpTtB3z4,180034,4,Jason Aldean,Try That In A Small Town
30,0.842,0.756,7,-7.409,0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,3XB5uhhlYSnkxpSihkNQwh,172798,4,KAROL G,QLONA
31,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,3qXsX3mYSsD1DmAvc3PE3N,229627,4,Luke Combs,Love You Anyway
32,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,6KaKmX6EIu3x2057HoZwQF,208853,4,Lainey Wilson,Watermelon Moonshine
33,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,6wsqVwoiVH2kde4k4KKAFU,211582,4,Travis Scott,I KNOW ?
34,0.604,0.444,0,-7.695,1,0.0698,0.409,0.0,0.0837,0.169,72.129,0HEytGQM3bG1vKxER7IgVK,169467,4,Zach Bryan,Spotless (feat. The Lumineers)
35,0.376,0.835,2,-5.824,0,0.0655,0.0118,3.71e-06,0.471,0.511,160.069,4EKH0ajMHXTkq4ztWuztVH,242307,4,Kane Brown,Bury Me in Georgia
36,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,7x9aauaA9cu6tyfpHnqDLo,185427,4,Jung Kook,Seven (feat. Latto) (Explicit Ver.)
37,0.8,0.545,2,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943,4EEjMyQub6tgFVshlM9j1M,250933,4,Jimmy Buffett,Margaritaville
38,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01,6iF4RgIjDvDqyW13PezSj3,171655,4,Selena Gomez,Single Soon
39,0.408,0.607,10,-7.463,1,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,00syWkRGIVQvYsg2OwfBUw,209320,4,Zach Bryan,East Side of Sorrow
40,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,1O8zCu3dLLPxkbGfIsbRgE,223344,4,Doechii,What It Is (Block Boy) (with Kodak Black)
41,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,1odExI7RdWc4BT515LTAwj,212954,4,David Kushner,Daylight
42,0.634,0.725,0,-4.88,0,0.0577,0.0754,0.0,0.208,0.845,159.898,7mLPSkAJraASgNk6ywyTkp,154375,4,KAROL G,MI EX TENÍA RAZÓN
43,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,7ABLbnD53cQK00mhcaOUVG,197920,4,Myke Towers,LALA
